1		3400355083
2		3400354488
3		3400354484
4		3400354463
5		3400354477
6		3400354450
7		3400354506
8		3400354616
9		3400354581
10		3400354605
11		3400354646
12		3400354579
13		3400354606
14		3400354572
15		3400354603
16		3400354577
17		3400354589
18		3400354576
19		3400354664
20		3400354578
21		3400354612
22		3400354574
23		3400354611
24		3400354571
25		3400354604
26		3400354590
27		3400354623
28		3400354605
29		3400354578
30		3400354744
31		3400354737
32		3400355053
33		3400354569
34		3400354498
35		3400354482
36		3400354479
37		3400354452
38		3400354441
39		3400354472
40		3400354436
41		3400354449
42		3400354444
43		3400354520
44		3400354688
45		3400354810
46		3400354733
47		3400354626
48		3400354639
49		3400354605
50		3400354634
51		3400354638
52		3400354602
53		3400354532
54		3400354597
55		3400354574
56		3400354437
57		3400354446
58		3400354479
59		3400354490
60		3400354433
61		3400354535
62		3400354501
63		3400354482
64		3400354480
65		3400354549
66		3400354438
67		3400354424
68		3400354423
69		3400354418
70		3400354458
71		3400354450
72		3400354442
73		3400354415
74		3400354429
75		3400354433
76		3400354424
77		3400354425
78		3400354422
79		3400354425
80		3400354428
81		3400354428
82		3400354426
83		3400354432
84		3400354423
85		3400354432
86		3400354420
87		3400354431
88		3400354429
89		3400354424
90		3400354424
91		3400354429
92		3400354420
93		3400354423
94		3400354416
95		3400354427
96		3400354419
97		3400354430
98		3400354423
99		3400354415
100		3400354427
